route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color
830,NJB,830,Asbury Park - Point Pleasant Beach,3,,
831,NJB,831,Red Bank - Monmouth Mall - Long Branch,3,,
832,NJB,832,Brookdale Community College-Red Bank-Asbury Park,3,,
834,NJB,834,Red Bank - Highlands,3,,
836,NJB,836,Asbury Park-Freehold Raceway Mall-Centra State,3,,
837,NJB,837,Long Branch - Asbury Park - Seaview Square,3,,
838,NJB,838,Freehold-Red Bank-Sea Bright,3,,
84,NJB,84,North Bergen - Jersey City - Journal Square,3,,
85,NJB,85,American Dream - Mill Creek  - Hoboken,3,,
86,NJB,86,Union City - Jersey City - Newport Centre Mall,3,,
87,NJB,87,Jersey City - Hoboken,3,,
871,NJB,871,Morristown - Boonton - Willowbrook Mall,3,,
872,NJB,872,Morristown - Parsippany-Troy Hills,3,,
873,NJB,873,Greystone - Morristown - Livingston,3,,
874,NJB,874,Morristown - Willowbrook Mall,3,,
875,NJB,875,Morristown - Dover - Roxbury,3,,
878,NJB,878,Morris - Florham Park - Madison,3,,
88,NJB,88,North Bergen - Jersey City - Journal Square,3,,
880,NJB,880,Morristown - Dover - Rockaway,3,,
89,NJB,89,North Bergen - Hoboken,3,,
890,NJB,890,South Main Street,3,,
891,NJB,891,Heckman,3,,
9,NJB,9,Montgomery St - West Side Avenue,3,,
90,NJB,90,Grove Street Crosstown,3,,
92,NJB,92,Orange Crosstown,3,,
94,NJB,94,Stuyvesant Crosstown,3,,
96,NJB,96,18th Street Crosstown,3,,
97,NJB,97,East Orange - Montclair,3,,
986,NJB,986,Summit - Murray Hill - Plainfield,3,,
99,NJB,99,Clifton Avenue Crosstown,3,,
AC1,NJB,AC1,A.C.Rail - Tropicana,3,,
AC3,NJB,AC3,A.C. Rail - Hard Rock/Resorts,3,,
AC4B,NJB,AC4B,A.C. Rail - Marina Casinos,3,,
HBLR,NJB,HBLR,Hudson Bergen Light Rail,3,,
NLR,NJB,NLR,Newark Light Rail,3,,
PRIB,NJB,PRIB,Princeton Rail Shuttle Service,3,,
RvLN,NJB,RvLN,River LINE,3,,
go25,NJB,go25,go25 Springfield Avenue,3,,
go28,NJB,go28,go28 Newark Airport - Newark - Bloomfield,3,,
